"GALAXY","STAR","prob_gal"
500,0,1
500,0,1
481,19,0.962
1,499,0.002
500,0,1
500,0,1
500,0,1
500,0,1
495,5,0.99
500,0,1
500,0,1
500,0,1
500,0,1
500,0,1
498,2,0.996
58,442,0.116
95,405,0.19
500,0,1
500,0,1
500,0,1
315,185,0.63
500,0,1
500,0,1
490,10,0.98
357,143,0.714
500,0,1
500,0,1
500,0,1
500,0,1
458,42,0.916
496,4,0.992
437,63,0.874
94,406,0.188
500,0,1
500,0,1
500,0,1
500,0,1
54,446,0.108
500,0,1
500,0,1
2,498,0.004
490,10,0.98
490,10,0.98
498,2,0.996
500,0,1
498,2,0.996
59,441,0.118
500,0,1
472,28,0.944
500,0,1
0,500,0
500,0,1
500,0,1
497,3,0.994
1,499,0.002
500,0,1
500,0,1
493,7,0.986
500,0,1
432,68,0.864
500,0,1
500,0,1
500,0,1
500,0,1
500,0,1
499,1,0.998
167,333,0.334
500,0,1
500,0,1
500,0,1
500,0,1
0,500,0
500,0,1
500,0,1
500,0,1
499,1,0.998
157,343,0.314
500,0,1
500,0,1
0,500,0
500,0,1
257,243,0.514
498,2,0.996
500,0,1
421,79,0.842
424,76,0.848
499,1,0.998
500,0,1
456,44,0.912
498,2,0.996
500,0,1
500,0,1
500,0,1
500,0,1
496,4,0.992
500,0,1
500,0,1
485,15,0.97
497,3,0.994
500,0,1
500,0,1
463,37,0.926
462,38,0.924
500,0,1
500,0,1
500,0,1
40,460,0.08
500,0,1
500,0,1
500,0,1
500,0,1
500,0,1
5,495,0.01
500,0,1
500,0,1
500,0,1
500,0,1
500,0,1
500,0,1
500,0,1
108,392,0.216
500,0,1
500,0,1
0,500,0
500,0,1
396,104,0.792
3,497,0.006
322,178,0.644
284,216,0.568
500,0,1
500,0,1
500,0,1
480,20,0.96
500,0,1
500,0,1
500,0,1
500,0,1
500,0,1
500,0,1
348,152,0.696
0,500,0
500,0,1
500,0,1
352,148,0.704
448,52,0.896
500,0,1
500,0,1
500,0,1
0,500,0
500,0,1
0,500,0
500,0,1
222,278,0.444
500,0,1
500,0,1
500,0,1
476,24,0.952
494,6,0.988
497,3,0.994
500,0,1
500,0,1
500,0,1
500,0,1
500,0,1
498,2,0.996
411,89,0.822
467,33,0.934
353,147,0.706
375,125,0.75
139,361,0.278
0,500,0
500,0,1
486,14,0.972
500,0,1
500,0,1
500,0,1
495,5,0.99
3,497,0.006
500,0,1
499,1,0.998
484,16,0.968
500,0,1
0,500,0
500,0,1
71,429,0.142
500,0,1
500,0,1
489,11,0.978
266,234,0.532
500,0,1
500,0,1
500,0,1
0,500,0
453,47,0.906
500,0,1
500,0,1
500,0,1
500,0,1
499,1,0.998
500,0,1
169,331,0.338
481,19,0.962
500,0,1
500,0,1
499,1,0.998
406,94,0.812
500,0,1
500,0,1
500,0,1
500,0,1
500,0,1
499,1,0.998
4,496,0.008
500,0,1
500,0,1
496,4,0.992
500,0,1
500,0,1
0,500,0
500,0,1
500,0,1
499,1,0.998
500,0,1
500,0,1
500,0,1
500,0,1
500,0,1
500,0,1
500,0,1
204,296,0.408
500,0,1
500,0,1
500,0,1
500,0,1
500,0,1
72,428,0.144
3,497,0.006
500,0,1
500,0,1
500,0,1
500,0,1
499,1,0.998
500,0,1
500,0,1
500,0,1
500,0,1
500,0,1
97,403,0.194
97,403,0.194
497,3,0.994
9,491,0.018
42,458,0.084
500,0,1
500,0,1
500,0,1
500,0,1
182,318,0.364
483,17,0.966
58,442,0.116
500,0,1
500,0,1
0,500,0
477,23,0.954
482,18,0.964
500,0,1
499,1,0.998
500,0,1
500,0,1
500,0,1
212,288,0.424
497,3,0.994
499,1,0.998
413,87,0.826
500,0,1
498,2,0.996
500,0,1
500,0,1
445,55,0.89
500,0,1
100,400,0.2
500,0,1
120,380,0.24
500,0,1
500,0,1
500,0,1
500,0,1
500,0,1
500,0,1
263,237,0.526
0,500,0
498,2,0.996
500,0,1
497,3,0.994
500,0,1
240,260,0.48
477,23,0.954
500,0,1
497,3,0.994
500,0,1
500,0,1
500,0,1
500,0,1
238,262,0.476
6,494,0.012
500,0,1
417,83,0.834
0,500,0
499,1,0.998
496,4,0.992
495,5,0.99
22,478,0.044
64,436,0.128
500,0,1
500,0,1
61,439,0.122
450,50,0.9
500,0,1
470,30,0.94
499,1,0.998
471,29,0.942
500,0,1
0,500,0
10,490,0.02
500,0,1
499,1,0.998
499,1,0.998
0,500,0
500,0,1
500,0,1
497,3,0.994
500,0,1
500,0,1
424,76,0.848
0,500,0
62,438,0.124
70,430,0.14
8,492,0.016
108,392,0.216
500,0,1
486,14,0.972
492,8,0.984
500,0,1
500,0,1
500,0,1
493,7,0.986
500,0,1
500,0,1
500,0,1
500,0,1
500,0,1
500,0,1
500,0,1
500,0,1
500,0,1
500,0,1
500,0,1
500,0,1
500,0,1
0,500,0
499,1,0.998
0,500,0
500,0,1
500,0,1
500,0,1
494,6,0.988
500,0,1
499,1,0.998
479,21,0.958
445,55,0.89
499,1,0.998
500,0,1
500,0,1
500,0,1
500,0,1
497,3,0.994
486,14,0.972
498,2,0.996
486,14,0.972
500,0,1
500,0,1
499,1,0.998
0,500,0
500,0,1
404,96,0.808
478,22,0.956
500,0,1
500,0,1
500,0,1
500,0,1
0,500,0
500,0,1
440,60,0.88
500,0,1
0,500,0
500,0,1
500,0,1
406,94,0.812
500,0,1
481,19,0.962
500,0,1
1,499,0.002
460,40,0.92
342,158,0.684
500,0,1
500,0,1
497,3,0.994
500,0,1
500,0,1
500,0,1
500,0,1
411,89,0.822
500,0,1
27,473,0.054
10,490,0.02
52,448,0.104
10,490,0.02
500,0,1
478,22,0.956
500,0,1
500,0,1
500,0,1
500,0,1
500,0,1
500,0,1
500,0,1
500,0,1
0,500,0
500,0,1
500,0,1
499,1,0.998
494,6,0.988
500,0,1
499,1,0.998
500,0,1
500,0,1
499,1,0.998
3,497,0.006
477,23,0.954
493,7,0.986
291,209,0.582
500,0,1
500,0,1
500,0,1
500,0,1
500,0,1
500,0,1
500,0,1
490,10,0.98
500,0,1
500,0,1
499,1,0.998
500,0,1
491,9,0.982
435,65,0.87
1,499,0.002
434,66,0.868
499,1,0.998
500,0,1
500,0,1
500,0,1
252,248,0.504
500,0,1
490,10,0.98
500,0,1
55,445,0.11
486,14,0.972
490,10,0.98
500,0,1
463,37,0.926
463,37,0.926
500,0,1
500,0,1
495,5,0.99
272,228,0.544
363,137,0.726
429,71,0.858
58,442,0.116
500,0,1
490,10,0.98
499,1,0.998
33,467,0.066
227,273,0.454
53,447,0.106
500,0,1
493,7,0.986
219,281,0.438
500,0,1
370,130,0.74
0,500,0
471,29,0.942
0,500,0
500,0,1
192,308,0.384
6,494,0.012
500,0,1
500,0,1
500,0,1
500,0,1
500,0,1
484,16,0.968
500,0,1
500,0,1
497,3,0.994
398,102,0.796
489,11,0.978
498,2,0.996
192,308,0.384
500,0,1
191,309,0.382
483,17,0.966
90,410,0.18
493,7,0.986
500,0,1
500,0,1
491,9,0.982
500,0,1
500,0,1
500,0,1
500,0,1
500,0,1
500,0,1
500,0,1
500,0,1
500,0,1
499,1,0.998
500,0,1
406,94,0.812
500,0,1
500,0,1
495,5,0.99
0,500,0
500,0,1
500,0,1
500,0,1
485,15,0.97
362,138,0.724
494,6,0.988
487,13,0.974
499,1,0.998
483,17,0.966
497,3,0.994
500,0,1
170,330,0.34
500,0,1
416,84,0.832
187,313,0.374
1,499,0.002
365,135,0.73
500,0,1
475,25,0.95
500,0,1
500,0,1
492,8,0.984
500,0,1
500,0,1
500,0,1
0,500,0
476,24,0.952
500,0,1
127,373,0.254
500,0,1
500,0,1
500,0,1
500,0,1
500,0,1
499,1,0.998
0,500,0
500,0,1
0,500,0
499,1,0.998
500,0,1
478,22,0.956
500,0,1
498,2,0.996
499,1,0.998
444,56,0.888
500,0,1
500,0,1
500,0,1
491,9,0.982
446,54,0.892
468,32,0.936
498,2,0.996
3,497,0.006
488,12,0.976
493,7,0.986
489,11,0.978
500,0,1
3,497,0.006
3,497,0.006
497,3,0.994
342,158,0.684
467,33,0.934
35,465,0.07
152,348,0.304
431,69,0.862
500,0,1
500,0,1
500,0,1
18,482,0.036
391,109,0.782
494,6,0.988
266,234,0.532
36,464,0.072
500,0,1
500,0,1
498,2,0.996
500,0,1
495,5,0.99
500,0,1
500,0,1
500,0,1
500,0,1
499,1,0.998
497,3,0.994
0,500,0
380,120,0.76
498,2,0.996
500,0,1
500,0,1
499,1,0.998
500,0,1
500,0,1
500,0,1
500,0,1
500,0,1
481,19,0.962
500,0,1
80,420,0.16
202,298,0.404
500,0,1
500,0,1
500,0,1
43,457,0.086
500,0,1
4,496,0.008
500,0,1
500,0,1
500,0,1
500,0,1
500,0,1
500,0,1
500,0,1
500,0,1
500,0,1
42,458,0.084
500,0,1
500,0,1
490,10,0.98
500,0,1
0,500,0
0,500,0
500,0,1
500,0,1
500,0,1
500,0,1
500,0,1
500,0,1
500,0,1
500,0,1
500,0,1
500,0,1
0,500,0
499,1,0.998
0,500,0
4,496,0.008
478,22,0.956
500,0,1
500,0,1
9,491,0.018
0,500,0
500,0,1
0,500,0
500,0,1
500,0,1
465,35,0.93
500,0,1
500,0,1
488,12,0.976
500,0,1
500,0,1
500,0,1
500,0,1
500,0,1
484,16,0.968
500,0,1
484,16,0.968
500,0,1
492,8,0.984
500,0,1
500,0,1
500,0,1
500,0,1
500,0,1
499,1,0.998
500,0,1
500,0,1
494,6,0.988
500,0,1
96,404,0.192
454,46,0.908
314,186,0.628
500,0,1
473,27,0.946
500,0,1
500,0,1
492,8,0.984
500,0,1
456,44,0.912
500,0,1
32,468,0.064
212,288,0.424
194,306,0.388
485,15,0.97
2,498,0.004
500,0,1
500,0,1
500,0,1
0,500,0
496,4,0.992
500,0,1
0,500,0
192,308,0.384
0,500,0
500,0,1
500,0,1
446,54,0.892
500,0,1
389,111,0.778
500,0,1
491,9,0.982
500,0,1
487,13,0.974
362,138,0.724
26,474,0.052
0,500,0
494,6,0.988
485,15,0.97
500,0,1
484,16,0.968
10,490,0.02
209,291,0.418
497,3,0.994
500,0,1
21,479,0.042
500,0,1
500,0,1
498,2,0.996
21,479,0.042
500,0,1
500,0,1
496,4,0.992
495,5,0.99
497,3,0.994
500,0,1
500,0,1
499,1,0.998
500,0,1
500,0,1
486,14,0.972
0,500,0
500,0,1
496,4,0.992
500,0,1
0,500,0
499,1,0.998
499,1,0.998
491,9,0.982
10,490,0.02
493,7,0.986
479,21,0.958
421,79,0.842
417,83,0.834
492,8,0.984
500,0,1
500,0,1
500,0,1
14,486,0.028
500,0,1
500,0,1
500,0,1
500,0,1
500,0,1
0,500,0
500,0,1
500,0,1
184,316,0.368
496,4,0.992
381,119,0.762
489,11,0.978
500,0,1
500,0,1
493,7,0.986
481,19,0.962
500,0,1
499,1,0.998
500,0,1
500,0,1
500,0,1
500,0,1
0,500,0
500,0,1
500,0,1
445,55,0.89
500,0,1
500,0,1
500,0,1
500,0,1
500,0,1
430,70,0.86
67,433,0.134
488,12,0.976
500,0,1
500,0,1
66,434,0.132
499,1,0.998
0,500,0
497,3,0.994
500,0,1
18,482,0.036
78,422,0.156
500,0,1
29,471,0.058
500,0,1
500,0,1
500,0,1
500,0,1
500,0,1
500,0,1
32,468,0.064
500,0,1
500,0,1
1,499,0.002
389,111,0.778
274,226,0.548
0,500,0
500,0,1
2,498,0.004
367,133,0.734
500,0,1
499,1,0.998
499,1,0.998
500,0,1
470,30,0.94
500,0,1
500,0,1
26,474,0.052
0,500,0
499,1,0.998
500,0,1
500,0,1
500,0,1
500,0,1
497,3,0.994
500,0,1
496,4,0.992
495,5,0.99
500,0,1
500,0,1
500,0,1
500,0,1
500,0,1
0,500,0
500,0,1
0,500,0
467,33,0.934
500,0,1
500,0,1
406,94,0.812
339,161,0.678
499,1,0.998
500,0,1
500,0,1
0,500,0
500,0,1
341,159,0.682
500,0,1
500,0,1
500,0,1
394,106,0.788
495,5,0.99
500,0,1
500,0,1
500,0,1
500,0,1
0,500,0
496,4,0.992
500,0,1
500,0,1
0,500,0
500,0,1
393,107,0.786
0,500,0
500,0,1
346,154,0.692
119,381,0.238
0,500,0
0,500,0
500,0,1
500,0,1
500,0,1
500,0,1
500,0,1
483,17,0.966
0,500,0
500,0,1
500,0,1
500,0,1
499,1,0.998
500,0,1
500,0,1
500,0,1
494,6,0.988
500,0,1
486,14,0.972
500,0,1
500,0,1
494,6,0.988
8,492,0.016
500,0,1
492,8,0.984
415,85,0.83
495,5,0.99
178,322,0.356
500,0,1
500,0,1
500,0,1
500,0,1
500,0,1
500,0,1
500,0,1
500,0,1
4,496,0.008
323,177,0.646
500,0,1
500,0,1
500,0,1
0,500,0
495,5,0.99
500,0,1
401,99,0.802
13,487,0.026
408,92,0.816
443,57,0.886
78,422,0.156
495,5,0.99
500,0,1
500,0,1
500,0,1
0,500,0
500,0,1
358,142,0.716
361,139,0.722
416,84,0.832
495,5,0.99
497,3,0.994
488,12,0.976
500,0,1
500,0,1
500,0,1
433,67,0.866
499,1,0.998
62,438,0.124
500,0,1
500,0,1
23,477,0.046
354,146,0.708
500,0,1
500,0,1
1,499,0.002
498,2,0.996
0,500,0
490,10,0.98
500,0,1
333,167,0.666
492,8,0.984
500,0,1
468,32,0.936
500,0,1
53,447,0.106
376,124,0.752
464,36,0.928
500,0,1
440,60,0.88
500,0,1
500,0,1
0,500,0
500,0,1
498,2,0.996
500,0,1
161,339,0.322
500,0,1
500,0,1
499,1,0.998
498,2,0.996
451,49,0.902
500,0,1
500,0,1
500,0,1
500,0,1
500,0,1
500,0,1
500,0,1
500,0,1
500,0,1
0,500,0
498,2,0.996
500,0,1
60,440,0.12
500,0,1
500,0,1
496,4,0.992
431,69,0.862
490,10,0.98
500,0,1
500,0,1
498,2,0.996
500,0,1
496,4,0.992
499,1,0.998
497,3,0.994
500,0,1
479,21,0.958
500,0,1
489,11,0.978
500,0,1
500,0,1
500,0,1
0,500,0
33,467,0.066
500,0,1
218,282,0.436
0,500,0
0,500,0
454,46,0.908
427,73,0.854
14,486,0.028
500,0,1
500,0,1
500,0,1
499,1,0.998
500,0,1
486,14,0.972
499,1,0.998
500,0,1
500,0,1
500,0,1
0,500,0
500,0,1
500,0,1
5,495,0.01
313,187,0.626
439,61,0.878
325,175,0.65
500,0,1
500,0,1
500,0,1
500,0,1
500,0,1
471,29,0.942
26,474,0.052
15,485,0.03
479,21,0.958
500,0,1
500,0,1
245,255,0.49
500,0,1
416,84,0.832
500,0,1
384,116,0.768
500,0,1
500,0,1
500,0,1
496,4,0.992
489,11,0.978
360,140,0.72
279,221,0.558
500,0,1
498,2,0.996
500,0,1
500,0,1
500,0,1
196,304,0.392
484,16,0.968
460,40,0.92
500,0,1
500,0,1
500,0,1
500,0,1
482,18,0.964
499,1,0.998
499,1,0.998
1,499,0.002
11,489,0.022
401,99,0.802
248,252,0.496
0,500,0
497,3,0.994
500,0,1
500,0,1
500,0,1
453,47,0.906
30,470,0.06
174,326,0.348
496,4,0.992
500,0,1
500,0,1
500,0,1
0,500,0
496,4,0.992
9,491,0.018
118,382,0.236
498,2,0.996
440,60,0.88
500,0,1
500,0,1
500,0,1
500,0,1
500,0,1
20,480,0.04
499,1,0.998
500,0,1
500,0,1
499,1,0.998
112,388,0.224
500,0,1
9,491,0.018
500,0,1
0,500,0
0,500,0
500,0,1
499,1,0.998
500,0,1
226,274,0.452
95,405,0.19
273,227,0.546
0,500,0
469,31,0.938
500,0,1
414,86,0.828
167,333,0.334
460,40,0.92
500,0,1
494,6,0.988
295,205,0.59
162,338,0.324
500,0,1
500,0,1
500,0,1
500,0,1
500,0,1
500,0,1
500,0,1
500,0,1
498,2,0.996
466,34,0.932
500,0,1
400,100,0.8
497,3,0.994
500,0,1
490,10,0.98
401,99,0.802
39,461,0.078
3,497,0.006
500,0,1
500,0,1
70,430,0.14
492,8,0.984
500,0,1
500,0,1
1,499,0.002
493,7,0.986
494,6,0.988
500,0,1
500,0,1
499,1,0.998
499,1,0.998
72,428,0.144
500,0,1
500,0,1
423,77,0.846
500,0,1
500,0,1
500,0,1
498,2,0.996
422,78,0.844
500,0,1
103,397,0.206
0,500,0
458,42,0.916
500,0,1
65,435,0.13
322,178,0.644
423,77,0.846
500,0,1
33,467,0.066
499,1,0.998
498,2,0.996
500,0,1
391,109,0.782
500,0,1
494,6,0.988
488,12,0.976
59,441,0.118
500,0,1
500,0,1
500,0,1
500,0,1
500,0,1
500,0,1
500,0,1
500,0,1
500,0,1
432,68,0.864
494,6,0.988
266,234,0.532
269,231,0.538
491,9,0.982
490,10,0.98
500,0,1
500,0,1
494,6,0.988
38,462,0.076
500,0,1
500,0,1
491,9,0.982
489,11,0.978
155,345,0.31
246,254,0.492
500,0,1
0,500,0
500,0,1
500,0,1
500,0,1
293,207,0.586
500,0,1
500,0,1
427,73,0.854
370,130,0.74
452,48,0.904
2,498,0.004
59,441,0.118
44,456,0.088
448,52,0.896
343,157,0.686
445,55,0.89
19,481,0.038
498,2,0.996
6,494,0.012
220,280,0.44
0,500,0
499,1,0.998
500,0,1
500,0,1
499,1,0.998
118,382,0.236
10,490,0.02
0,500,0
234,266,0.468
0,500,0
2,498,0.004
383,117,0.766
477,23,0.954
416,84,0.832
472,28,0.944
471,29,0.942
500,0,1
500,0,1
465,35,0.93
500,0,1
114,386,0.228
500,0,1
500,0,1
500,0,1
2,498,0.004
500,0,1
500,0,1
20,480,0.04
500,0,1
32,468,0.064
65,435,0.13
33,467,0.066
38,462,0.076
3,497,0.006
326,174,0.652
492,8,0.984
150,350,0.3
9,491,0.018
313,187,0.626
492,8,0.984
500,0,1
500,0,1
4,496,0.008
0,500,0
7,493,0.014
2,498,0.004
110,390,0.22
31,469,0.062
134,366,0.268
289,211,0.578
500,0,1
500,0,1
498,2,0.996
500,0,1
498,2,0.996
500,0,1
371,129,0.742
500,0,1
500,0,1
422,78,0.844
478,22,0.956
499,1,0.998
500,0,1
500,0,1
9,491,0.018
23,477,0.046
10,490,0.02
2,498,0.004
500,0,1
439,61,0.878
498,2,0.996
496,4,0.992
500,0,1
51,449,0.102
48,452,0.096
19,481,0.038
155,345,0.31
8,492,0.016
48,452,0.096
57,443,0.114
500,0,1
3,497,0.006
500,0,1
500,0,1
500,0,1
474,26,0.948
492,8,0.984
38,462,0.076
500,0,1
68,432,0.136
65,435,0.13
500,0,1
1,499,0.002
315,185,0.63
22,478,0.044
500,0,1
500,0,1
500,0,1
500,0,1
498,2,0.996
500,0,1
500,0,1
489,11,0.978
500,0,1
493,7,0.986
500,0,1
65,435,0.13
486,14,0.972
500,0,1
500,0,1
490,10,0.98
500,0,1
280,220,0.56
500,0,1
500,0,1
3,497,0.006
500,0,1
500,0,1
494,6,0.988
500,0,1
499,1,0.998
500,0,1
500,0,1
472,28,0.944
0,500,0
22,478,0.044
500,0,1
496,4,0.992
8,492,0.016
500,0,1
403,97,0.806
499,1,0.998
0,500,0
93,407,0.186
31,469,0.062
353,147,0.706
1,499,0.002
128,372,0.256
500,0,1
12,488,0.024
320,180,0.64
500,0,1
109,391,0.218
0,500,0
396,104,0.792
43,457,0.086
11,489,0.022
500,0,1
429,71,0.858
473,27,0.946
500,0,1
489,11,0.978
395,105,0.79
500,0,1
500,0,1
500,0,1
280,220,0.56
500,0,1
0,500,0
0,500,0
184,316,0.368
104,396,0.208
51,449,0.102
203,297,0.406
345,155,0.69
26,474,0.052
374,126,0.748
9,491,0.018
12,488,0.024
37,463,0.074
312,188,0.624
500,0,1
500,0,1
367,133,0.734
395,105,0.79
383,117,0.766
500,0,1
445,55,0.89
499,1,0.998
500,0,1
500,0,1
500,0,1
498,2,0.996
492,8,0.984
500,0,1
487,13,0.974
496,4,0.992
497,3,0.994
0,500,0
274,226,0.548
500,0,1
499,1,0.998
500,0,1
27,473,0.054
6,494,0.012
451,49,0.902
500,0,1
40,460,0.08
454,46,0.908
500,0,1
500,0,1
500,0,1
44,456,0.088
64,436,0.128
39,461,0.078
455,45,0.91
500,0,1
500,0,1
131,369,0.262
89,411,0.178
91,409,0.182
25,475,0.05
4,496,0.008
16,484,0.032
6,494,0.012
500,0,1
500,0,1
500,0,1
500,0,1
500,0,1
467,33,0.934
500,0,1
500,0,1
500,0,1
48,452,0.096
55,445,0.11
495,5,0.99
500,0,1
499,1,0.998
500,0,1
500,0,1
493,7,0.986
0,500,0
500,0,1
500,0,1
274,226,0.548
500,0,1
273,227,0.546
408,92,0.816
498,2,0.996
500,0,1
500,0,1
500,0,1
456,44,0.912
324,176,0.648
496,4,0.992
500,0,1
500,0,1
0,500,0
498,2,0.996
392,108,0.784
499,1,0.998
499,1,0.998
458,42,0.916
500,0,1
500,0,1
500,0,1
21,479,0.042
316,184,0.632
15,485,0.03
74,426,0.148
101,399,0.202
500,0,1
460,40,0.92
500,0,1
499,1,0.998
0,500,0
500,0,1
17,483,0.034
3,497,0.006
500,0,1
479,21,0.958
500,0,1
500,0,1
500,0,1
484,16,0.968
498,2,0.996
302,198,0.604
0,500,0
500,0,1
500,0,1
18,482,0.036
500,0,1
339,161,0.678
500,0,1
500,0,1
500,0,1
0,500,0
500,0,1
500,0,1
412,88,0.824
10,490,0.02
331,169,0.662
500,0,1
43,457,0.086
1,499,0.002
12,488,0.024
18,482,0.036
26,474,0.052
89,411,0.178
500,0,1
0,500,0
496,4,0.992
268,232,0.536
500,0,1
40,460,0.08
481,19,0.962
500,0,1
500,0,1
485,15,0.97
500,0,1
487,13,0.974
500,0,1
167,333,0.334
500,0,1
171,329,0.342
500,0,1
500,0,1
500,0,1
500,0,1
93,407,0.186
500,0,1
500,0,1
496,4,0.992
500,0,1
483,17,0.966
472,28,0.944
500,0,1
11,489,0.022
276,224,0.552
10,490,0.02
2,498,0.004
206,294,0.412
495,5,0.99
500,0,1
432,68,0.864
398,102,0.796
22,478,0.044
398,102,0.796
500,0,1
500,0,1
500,0,1
500,0,1
481,19,0.962
500,0,1
500,0,1
176,324,0.352
491,9,0.982
455,45,0.91
500,0,1
57,443,0.114
492,8,0.984
75,425,0.15
164,336,0.328
4,496,0.008
382,118,0.764
295,205,0.59
25,475,0.05
69,431,0.138
38,462,0.076
45,455,0.09
35,465,0.07
72,428,0.144
272,228,0.544
41,459,0.082
85,415,0.17
69,431,0.138
63,437,0.126
21,479,0.042
66,434,0.132
53,447,0.106
93,407,0.186
119,381,0.238
54,446,0.108
3,497,0.006
478,22,0.956
101,399,0.202
485,15,0.97
500,0,1
500,0,1
457,43,0.914
500,0,1
500,0,1
498,2,0.996
485,15,0.97
500,0,1
197,303,0.394
500,0,1
500,0,1
0,500,0
500,0,1
500,0,1
500,0,1
498,2,0.996
27,473,0.054
0,500,0
269,231,0.538
3,497,0.006
149,351,0.298
2,498,0.004
70,430,0.14
500,0,1
500,0,1
497,3,0.994
500,0,1
500,0,1
500,0,1
167,333,0.334
71,429,0.142
217,283,0.434
266,234,0.532
445,55,0.89
0,500,0
17,483,0.034
272,228,0.544
5,495,0.01
1,499,0.002
496,4,0.992
468,32,0.936
208,292,0.416
100,400,0.2
491,9,0.982
394,106,0.788
428,72,0.856
204,296,0.408
241,259,0.482
228,272,0.456
317,183,0.634
500,0,1
481,19,0.962
500,0,1
191,309,0.382
13,487,0.026
55,445,0.11
72,428,0.144
0,500,0
1,499,0.002
500,0,1
44,456,0.088
2,498,0.004
4,496,0.008
500,0,1
298,202,0.596
25,475,0.05
499,1,0.998
499,1,0.998
32,468,0.064
500,0,1
430,70,0.86
500,0,1
500,0,1
204,296,0.408
500,0,1
500,0,1
499,1,0.998
494,6,0.988
500,0,1
171,329,0.342
93,407,0.186
39,461,0.078
173,327,0.346
250,250,0.5
3,497,0.006
3,497,0.006
1,499,0.002
10,490,0.02
85,415,0.17
51,449,0.102
132,368,0.264
152,348,0.304
62,438,0.124
305,195,0.61
387,113,0.774
1,499,0.002
2,498,0.004
279,221,0.558
80,420,0.16
6,494,0.012
6,494,0.012
19,481,0.038
22,478,0.044
30,470,0.06
112,388,0.224
30,470,0.06
59,441,0.118
3,497,0.006
499,1,0.998
500,0,1
500,0,1
488,12,0.976
500,0,1
498,2,0.996
169,331,0.338
62,438,0.124
500,0,1
143,357,0.286
337,163,0.674
22,478,0.044
81,419,0.162
2,498,0.004
3,497,0.006
368,132,0.736
202,298,0.404
18,482,0.036
0,500,0
104,396,0.208
5,495,0.01
3,497,0.006
499,1,0.998
2,498,0.004
500,0,1
155,345,0.31
476,24,0.952
445,55,0.89
21,479,0.042
493,7,0.986
331,169,0.662
18,482,0.036
500,0,1
180,320,0.36
500,0,1
497,3,0.994
500,0,1
500,0,1
499,1,0.998
500,0,1
487,13,0.974
500,0,1
500,0,1
116,384,0.232
173,327,0.346
500,0,1
500,0,1
67,433,0.134
1,499,0.002
270,230,0.54
72,428,0.144
380,120,0.76
468,32,0.936
499,1,0.998
296,204,0.592
500,0,1
500,0,1
500,0,1
353,147,0.706
499,1,0.998
75,425,0.15
500,0,1
500,0,1
500,0,1
498,2,0.996
500,0,1
500,0,1
500,0,1
500,0,1
46,454,0.092
27,473,0.054
38,462,0.076
199,301,0.398
9,491,0.018
457,43,0.914
77,423,0.154
17,483,0.034
21,479,0.042
15,485,0.03
17,483,0.034
2,498,0.004
2,498,0.004
11,489,0.022
22,478,0.044
22,478,0.044
99,401,0.198
4,496,0.008
11,489,0.022
467,33,0.934
500,0,1
5,495,0.01
118,382,0.236
466,34,0.932
232,268,0.464
3,497,0.006
500,0,1
10,490,0.02
86,414,0.172
31,469,0.062
422,78,0.844
340,160,0.68
280,220,0.56
192,308,0.384
468,32,0.936
177,323,0.354
205,295,0.41
500,0,1
500,0,1
500,0,1
234,266,0.468
476,24,0.952
500,0,1
500,0,1
500,0,1
500,0,1
500,0,1
499,1,0.998
499,1,0.998
500,0,1
495,5,0.99
496,4,0.992
491,9,0.982
500,0,1
500,0,1
500,0,1
229,271,0.458
369,131,0.738
8,492,0.016
396,104,0.792
59,441,0.118
172,328,0.344
0,500,0
0,500,0
500,0,1
498,2,0.996
500,0,1
47,453,0.094
61,439,0.122
500,0,1
134,366,0.268
9,491,0.018
0,500,0
77,423,0.154
0,500,0
40,460,0.08
193,307,0.386
118,382,0.236
8,492,0.016
17,483,0.034
0,500,0
40,460,0.08
0,500,0
500,0,1
500,0,1
500,0,1
369,131,0.738
500,0,1
424,76,0.848
500,0,1
499,1,0.998
500,0,1
411,89,0.822
89,411,0.178
5,495,0.01
3,497,0.006
395,105,0.79
2,498,0.004
206,294,0.412
500,0,1
500,0,1
500,0,1
50,450,0.1
499,1,0.998
456,44,0.912
494,6,0.988
500,0,1
500,0,1
439,61,0.878
498,2,0.996
404,96,0.808
100,400,0.2
474,26,0.948
99,401,0.198
500,0,1
500,0,1
145,355,0.29
499,1,0.998
500,0,1
500,0,1
405,95,0.81
264,236,0.528
147,353,0.294
94,406,0.188
155,345,0.31
219,281,0.438
2,498,0.004
331,169,0.662
25,475,0.05
89,411,0.178
217,283,0.434
182,318,0.364
189,311,0.378
499,1,0.998
192,308,0.384
388,112,0.776
37,463,0.074
459,41,0.918
41,459,0.082
8,492,0.016
12,488,0.024
59,441,0.118
341,159,0.682
152,348,0.304
6,494,0.012
153,347,0.306
500,0,1
2,498,0.004
493,7,0.986
500,0,1
500,0,1
6,494,0.012
500,0,1
500,0,1
467,33,0.934
500,0,1
330,170,0.66
500,0,1
237,263,0.474
446,54,0.892
25,475,0.05
0,500,0
59,441,0.118
416,84,0.832
156,344,0.312
0,500,0
138,362,0.276
380,120,0.76
19,481,0.038
335,165,0.67
24,476,0.048
500,0,1
272,228,0.544
426,74,0.852
40,460,0.08
16,484,0.032
499,1,0.998
485,15,0.97
103,397,0.206
479,21,0.958
500,0,1
500,0,1
500,0,1
273,227,0.546
